team_abbreviation,age,player_height,player_weight,college,country,draft_year,gp,pts,reb,ast,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
CHI,36,198.12,99.79024,Southeastern Oklahoma State,USA,1986,55,5.7,16.1,3.1,0.186,0.323,0.1,0.479,0.113
LAC,28,215.9,117.93392,Florida,USA,1990,15,2.3,1.5,0.3,0.078,0.151,0.175,0.43,0.048
DAL,24,203.2,100.697424,UCLA,USA,1995,64,3.7,2.3,0.6,0.06,0.149,0.167,0.399,0.077
MIA,34,205.74,108.86208,Villanova,USA,1985,27,2.4,2.4,0.2,0.109,0.179,0.127,0.611,0.04
HOU,38,200.66,97.52228,Illinois,USA,1981,52,8.2,2.7,1,0.034,0.126,0.22,0.541,0.102
LAL,25,198.12,86.18248,Temple,USA,1994,80,17.2,4.1,3.4,0.035,0.091,0.209,0.559,0.149
LAL,28,213.36,113.398,Clemson,USA,1990,77,14.9,8,1.6,0.095,0.183,0.222,0.52,0.087
ATL,29,193.04,86.18248,Washington,USA,1992,71,5.7,1.6,1.3,0.036,0.076,0.172,0.539,0.141
MIL,28,182.88,72.57472,Memphis,USA,1991,82,6.9,1.5,3,0.018,0.081,0.177,0.557,0.262
VAN,31,210.82,120.20188,Wyoming,USA,1988,20,1.7,1.8,0.3,0.044,0.258,0.175,0.444,0.067
VAN,27,210.82,106.59412,Pittsburgh,USA,1994,28,2.6,2.1,0.5,0.106,0.102,0.158,0.472,0.076
NJN,25,213.36,122.46984,North Carolina,USA,1994,78,4.4,6.6,0.8,0.107,0.206,0.112,0.452,0.05
LAC,26,200.66,97.52228,Nebraska,USA,1994,65,6,1.6,0.8,0.071,0.088,0.22,0.579,0.111
SEA,24,190.5,90.7184,Michigan State,USA,1995,67,3,1,2.4,0.027,0.085,0.145,0.515,0.339
BOS,24,203.2,99.79024,Providence,USA,1995,72,15,4.6,1.8,0.057,0.107,0.207,0.533,0.087
IND,21,210.82,120.20188,Mississippi State,USA,1996,72,5.1,4.1,0.6,0.107,0.216,0.218,0.451,0.074
DEN,29,210.82,111.13004,New Orleans,USA,1993,82,7.1,11.1,0.9,0.103,0.294,0.114,0.543,0.042
SAC,29,213.36,108.86208,Temple,USA,1990,46,2.6,2.8,0.4,0.112,0.143,0.111,0.535,0.056
MIN,30,198.12,99.79024,Villanova,USA,1989,68,7.8,2.2,1.7,0.024,0.07,0.143,0.505,0.092
PHI,27,190.5,86.18248,La Salle,USA,1991,61,3.6,1.1,1.7,0.031,0.085,0.172,0.514,0.258
ORL,28,203.2,106.59412,Georgia Tech,USA,1990,66,12.5,3.1,2.1,0.021,0.092,0.188,0.519,0.106
LAL,22,185.42,90.7184,Arkansas-Little Rock,USA,1996,80,3.9,1.2,1.5,0.031,0.087,0.186,0.491,0.223
DAL,35,193.04,93.439952,Illinois,USA,1983,75,10,1.8,4.3,0.016,0.057,0.181,0.516,0.252
ORL,29,205.74,108.86208,Xavier,USA,1990,82,8.5,6.3,0.9,0.1,0.208,0.182,0.513,0.064
